Receptor TF PPR
871 Cdh1 Cd44 0.000845465020310141
1129 Ceacam1 Srsf6 0.000845328087324536
3130 Sdc4 Rbm39 0.00084496571979143
912 Cdh1 Tjp2 0.000842068253847523
708 Cdh1 Snrpd1 0.000841526088269824
3076 Sdc4 Srsf3 0.0008411126371179
653 Cdh1 Fmr1 0.000840907322914266
2151 F11r Matr3 0.000840545759754827
845 Cdh1 Park7 0.000839517605160988
2393 F11r Ahsa1 0.000838891575956652
2694 Sdc1 Hspb1 0.000838385351182566
256 Cd44 Pcbp2 0.000836896434500905
2257 F11r Top1 0.000836845914385723
767 Cdh1 Csnk2a1 0.00083537618579971
3142 Sdc4 Nono 0.000835186625380599
2876 Sdc1 Hnrnpu 0.000834802107225424
3229 Sdc4 Rbm34 0.000834537494687043
3079 Sdc4 Tcea1 0.000834414134292892
3073 Sdc4 Cops5 0.000834005074660344
1719 Cldn3 Pcbp2 0.000833403376301704
989 Ceacam1 Ezh2 0.00083058283781821
1610 Cldn3 Cops5 0.000830487033116771
150 Cd44 Srsf3 0.000829084364482103
1126 Ceacam1 Ssrp1 0.000828795057426836
2601 Sdc1 Ybx1 0.000828659730635347
363 Cd44 Rock1 0.000828175968660753
1125 Ceacam1 Srsf3 0.000828127932256877
1625 Cldn3 Ybx1 0.000827695100111263
905 Cdh1 Cyld 0.000827679735768927
2172 F11r Snrpd1 0.000827082215302209
2155 F11r Rbm39 0.000827032991374605
703 Cdh1 Nono 0.000826754613738309
1141 Ceacam1 Fmr1 0.00082455039940141
1766 Cldn3 Rbm34 0.000824360800700128
1443 Ceacam1 Tes 0.000823954561163497
1817 Cldn3 Lmna 0.000823811281378955
3188 Sdc4 Prmt5 0.000821815273039203
1667 Cldn3 Rbm39 0.000821272218266834
3141 Sdc4 Cnbp 0.00082080659211419
810 Cdh1 Svil 0.000820716791437931
634 Cdh1 Cops5 0.000820068708462223
3381 Sdc4 Ezr 0.000819436997609915
1679 Cldn3 Nono 0.000818108096415896
2906 Sdc1 Tes 0.000817406961972952
2593 Sdc1 Srsf6 0.000817194026966573
303 Cd44 Rbm34 0.000815792318586071
649 Cdh1 Ybx1 0.000815546796832384
1931 Cldn3 Tes 0.000813096739232173
